DATE	TIME	BOROUGH	ZIP CODE	LATITUDE	LONGITUDE	LOCATION	ON STREET NAME	CROSS STREET NAME	OFF STREET NAME	NUMBER OF PERSONS INJURED	NUMBER OF PERSONS KILLED	NUMBER OF PEDESTRIANS INJURED	NUMBER OF PEDESTRIANS KILLED	NUMBER OF CYCLIST INJURED	NUMBER OF CYCLIST KILLED	NUMBER OF MOTORIST INJURED	NUMBER OF MOTORIST KILLED	CONTRIBUTING FACTOR VEHICLE 1	CONTRIBUTING FACTOR VEHICLE 2	CONTRIBUTING FACTOR VEHICLE 3	CONTRIBUTING FACTOR VEHICLE 4	CONTRIBUTING FACTOR VEHICLE 5	UNIQUE KEY	VEHICLE TYPE CODE 1	VEHICLE TYPE CODE 2	VEHICLE TYPE CODE 3	VEHICLE TYPE CODE 4	VEHICLE TYPE CODE 5
03/12/2017	11:56	QUEENS	11106	40.759758	-73.92169	(40.759758, -73.92169)			32-14     36 STREET                     	0	0	0	0	0	0	0	0	Driverless/Runaway Vehicle	Unspecified				3630934	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	12:00	BROOKLYN	11220	40.63516	-74.00743	(40.63516, -74.00743)			877       59 STREET                     	0	0	0	0	0	0	0	0	Unspecified					3632424	PASSENGER VEHICLE				
03/12/2017	12:00	MANHATTAN	10011	40.74595	-73.99802	(40.74595, -73.99802)	8 AVENUE                        	WEST 24 STREET		0	0	0	0	0	0	0	0	Following Too Closely	Unspecified				3633094	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	12:00			40.735313	-73.994125	(40.735313, -73.994125)	5 AVENUE                        			0	0	0	0	0	0	0	0	Backing Unsafely	Unspecified				3630623	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	12:00			40.575714	-73.96301	(40.575714, -73.96301)	BRIGHTWATER COURT               			0	0	0	0	0	0	0	0	Backing Unsafely	Unspecified				3630778	SPORT UTILITY / STATION WAGON				
03/12/2017	12:00			40.6986	-73.84791	(40.6986, -73.84791)	PARK LANE SOUTH                 	101 STREET		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630221	SPORT UTILITY / STATION WAGON				
03/12/2017	12:05	QUEENS	11434	40.67544	-73.78086	(40.67544, -73.78086)	160 STREET                      	129 AVENUE		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified	Unspecified	Unspecified		3630553	PASSENGER VEHICLE	PASSENGER VEHICLE	PASSENGER VEHICLE		
03/12/2017	12:10	BROOKLYN	11208	40.680454	-73.87611	(40.680454, -73.87611)	CONDUIT BOULEVARD               	ATLANTIC AVENUE		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630543	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	12:14	BROOKLYN	11230	40.630592	-73.97551	(40.630592, -73.97551)	WEBSTER AVENUE                  	SETON PLACE		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3632298	PASSENGER VEHICLE				
03/12/2017	12:15	BROOKLYN	11235	40.58945	-73.960526	(40.58945, -73.960526)	CONEY ISLAND AVENUE             	AVENUE Y		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3630791	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	12:28			40.84954	-73.93641	(40.84954, -73.93641)	BROADWAY                        			1	0	0	0	0	0	1	0	Following Too Closely	Unspecified				3631174	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	12:30	BROOKLYN	11231	40.675842	-73.99905	(40.675842, -73.99905)	COURT STREET                    	HUNTINGTON STREET		0	0	0	0	0	0	0	0	Unsafe Lane Changing	Unspecified				3630738	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	12:30			40.7749	-73.78895	(40.7749, -73.78895)	26 AVENUE                       			0	0	0	0	0	0	0	0	Following Too Closely	Unspecified				3630175	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	12:30			40.767612	-73.950005	(40.767612, -73.950005)				1	0	0	0	0	0	1	0	Following Too Closely	Unspecified	Unspecified			3630462	PASSENGER VEHICLE	PASSENGER VEHICLE	PASSENGER VEHICLE		
03/12/2017	12:36	MANHATTAN	10017	40.75425	-73.96899	(40.75425, -73.96899)	2 AVENUE                        	EAST 49 STREET		1	0	0	0	1	0	0	0	Driver Inattention/Distraction	Unspecified				3636869	BICYCLE				
03/12/2017	12:37	QUEENS	11691	40.598316	-73.76256	(40.598316, -73.76256)	BROOKHAVEN AVENUE               	BEACH 29 STREET		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3630765	PASSENGER VEHICLE				
03/12/2017	12:40			40.63328	-73.8905	(40.63328, -73.8905)	SEAVIEW AVENUE                  			0	0	0	0	0	0	0	0	Unspecified	Unspecified				3630627	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON			
03/12/2017	12:45	BROOKLYN	11215	40.671654	-73.98093	(40.671654, -73.98093)	6 AVENUE                        	3 STREET		1	0	1	0	0	0	0	0	Failure to Yield Right-of-Way					3630874	SPORT UTILITY / STATION WAGON				
03/12/2017	12:45	BROOKLYN	11218	40.642536	-73.98312	(40.642536, -73.98312)	LOUISA STREET                   	CHESTER AVENUE		1	0	0	0	0	0	1	0	Driver Inattention/Distraction	Driver Inattention/Distraction				3630515	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	12:46	BROOKLYN	11212	40.659172	-73.913895	(40.659172, -73.913895)			2238      STRAUSS STREET                	0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630695	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	12:50	MANHATTAN	10017	40.750492	-73.97172	(40.750492, -73.97172)	2 AVENUE                        	EAST 43 STREET		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Driver Inattention/Distraction				3630552	SPORT UTILITY / STATION WAGON				
03/12/2017	12:55			40.579803	-74.10583	(40.579803, -74.10583)	EDISON STREET                   			0	0	0	0	0	0	0	0	Unspecified	Unspecified				3630586	PASSENGER VEHICLE				
03/12/2017	13:00	BROOKLYN	11230	40.61801	-73.96005	(40.61801, -73.96005)	AVENUE M                        	EAST 15 STREET		0	0	0	0	0	0	0	0	Unspecified					3631941	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON			
03/12/2017	13:00			40.624714	-74.1422	(40.624714, -74.1422)	FOREST AVENUE                   	PONTIAC STREET		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3631190	PASSENGER VEHICLE	PASSENGER VEHICLE			
